"1","","","","","780"
"2","","","","130","780"
"3","","","29","260","780"
"4","","5","87","390","780"
"5","1","20","174","520","780"
"6","5","50","290","650","780"
"7","15","100","435","780",""
"8","35","175","609","650",""
"9","70","280","725","520",""
"10","126","400","783","390",""
"11","205","520","783","260",""
"12","305","625","725","130",""
"13","420","700","609","",""
"14","540","730","435","",""
"15","651","700","290","",""
"16","735","625","174","",""
"17","780","520","87","",""
"18","780","400","29","",""
"19","735","280","","",""
"20","651","175","","",""
"21","540","100","","",""
"22","420","50","","",""
"23","305","20","","",""
"24","205","5","","",""
"25","126","","","",""
"26","70","","","",""
"27","35","","","",""
"28","15","","","",""
"29","5","","","",""
"30","1","","","",""
